Win,Lose,Name,Rank,Tournament,Divison
5,10,SHIMANOUMI,M6,2021 Kyushu basho results - Makuuchi Division,E
10,5,URA,M7,2021 Kyushu basho results - Makuuchi Division,E
3,12,KOTOEKO,M8,2021 Kyushu basho results - Makuuchi Division,E
4,11,AOIYAMA,M9,2021 Kyushu basho results - Makuuchi Division,E
6,9,CHIYOTAIRYU,M10,2021 Kyushu basho results - Makuuchi Division,E
6,9,KOTONOWAKA,M11,2021 Kyushu basho results - Makuuchi Division,E
7,8,ISHIURA,M12,2021 Kyushu basho results - Makuuchi Division,E
7,8,YUTAKAYAMA,M13,2021 Kyushu basho results - Makuuchi Division,E
5,10,KAGAYAKI,M14,2021 Kyushu basho results - Makuuchi Division,E
8,7,CHIYOMARU,M15,2021 Kyushu basho results - Makuuchi Division,E
9,6,AKUA,M16,2021 Kyushu basho results - Makuuchi Division,E
7,8,KAISEI,M17,2021 Kyushu basho results - Makuuchi Division,E
0,0,KAKURYU,Y,2021 Hatsu basho results - Makuuchi Division,W
11,4,SHODAI,O,2021 Hatsu basho results - Makuuchi Division,W
9,6,TAKANOSHO,S,2021 Hatsu basho results - Makuuchi Division,W
9,6,MITAKEUMI,K,2021 Hatsu basho results - Makuuchi Division,W
13,2,DAIEISHO,M1,2021 Hatsu basho results - Makuuchi Division,W
0,0,WAKATAKAKAGE,M2,2021 Hatsu basho results - Makuuchi Division,W
9,6,ŌNOSHO,M3,2021 Hatsu basho results - Makuuchi Division,W
6,9,TAMAWASHI,M4,2021 Hatsu basho results - Makuuchi Division,W
7,8,OKINOUMI,M5,2021 Hatsu basho results - Makuuchi Division,W
6,9,KAGAYAKI,M6,2021 Hatsu basho results - Makuuchi Division,W
6,9,TOBIZARU,M7,2021 Hatsu basho results - Makuuchi Division,W
8,7,KIRIBAYAMA,M8,2021 Hatsu basho results - Makuuchi Division,W
8,7,MYOGIRYU,M9,2021 Hatsu basho results - Makuuchi Division,W
6,9,AOIYAMA,M10,2021 Hatsu basho results - Makuuchi Division,W
6,9,KOTOEKO,M11,2021 Hatsu basho results - Makuuchi Division,W
7,8,TERUTSUYOSHI,M12,2021 Hatsu basho results - Makuuchi Division,W
0,0,CHIYOSHOMA,M13,2021 Hatsu basho results - Makuuchi Division,W
9,6,MIDORIFUJI,M14,2021 Hatsu basho results - Makuuchi Division,W
10,5,KOTONOWAKA,M15,2021 Hatsu basho results - Makuuchi Division,W
0,0,KAISEI,M16,2021 Hatsu basho results - Makuuchi Division,W
0,0,KAKURYU,Y,2021 Haru basho results - Makuuchi Division,W
10,5,ASANOYAMA,O,2021 Haru basho results - Makuuchi Division,W
8,7,TAKANOSHO,S,2021 Haru basho results - Makuuchi Division,W
8,7,MITAKEUMI,K,2021 Haru basho results - Makuuchi Division,W
8,7,DAIEISHO,K,2021 Haru basho results - Makuuchi Division,W
4,11,ŌNOSHO,M1,2021 Haru basho results - Makuuchi Division,W
10,5,WAKATAKAKAGE,M2,2021 Haru basho results - Makuuchi Division,W
4,11,SHIMANOUMI,M3,2021 Haru basho results - Makuuchi Division,W
7,8,MYOGIRYU,M4,2021 Haru basho results - Makuuchi Division,W
3,12,OKINOUMI,M5,2021 Haru basho results - Makuuchi Division,W
7,8,ICHINOJO,M6,2021 Haru basho results - Makuuchi Division,W
6,9,KAGAYAKI,M7,2021 Haru basho results - Makuuchi Division,W
10,5,TOBIZARU,M8,2021 Haru basho results - Makuuchi Division,W
8,7,HOSHORYU,M9,2021 Haru basho results - Makuuchi Division,W
6,9,RYUDEN,M10,2021 Haru basho results - Makuuchi Division,W
1,6,KOTOSHOHO,M11,2021 Haru basho results - Makuuchi Division,W
11,4,AOIYAMA,M12,2021 Haru basho results - Makuuchi Division,W
8,7,CHIYOSHOMA,M13,2021 Haru basho results - Makuuchi Division,W
9,6,TSURUGISHO,M14,2021 Haru basho results - Makuuchi Division,W
10,5,HIDENOUMI,M15,2021 Haru basho results - Makuuchi Division,W
9,6,DAIAMAMI,M16,2021 Haru basho results - Makuuchi Division,W
12,3,TAKAKEISHO,O,2021 Natsu basho results - Makuuchi Division,W
12,3,TERUNOFUJI,O,2021 Natsu basho results - Makuuchi Division,W
5,10,TAKANOSHO,S,2021 Natsu basho results - Makuuchi Division,W
6,9,DAIEISHO,K,2021 Natsu basho results - Makuuchi Division,W
6,9,HOKUTOFUJI,M1,2021 Natsu basho results - Makuuchi Division,W
5,10,TOBIZARU,M2,2021 Natsu basho results - Makuuchi Division,W
0,4,CHIYONOKUNI,M3,2021 Natsu basho results - Makuuchi Division,W
6,9,MYOGIRYU,M4,2021 Natsu basho results - Makuuchi Division,W
7,8,ŌNOSHO,M5,2021 Natsu basho results - Makuuchi Division,W
9,6,ICHINOJO,M6,2021 Natsu basho results - Makuuchi Division,W
7,8,TAKARAFUJI,M7,2021 Natsu basho results - Makuuchi Division,W
11,4,ENDO,M8,2021 Natsu basho results - Makuuchi Division,W
6,9,KAGAYAKI,M9,2021 Natsu basho results - Makuuchi Division,W
7,8,TERUTSUYOSHI,M10,2021 Natsu basho results - Makuuchi Division,W
8,7,CHIYOSHOMA,M11,2021 Natsu basho results - Makuuchi Division,W
9,6,OKINOUMI,M12,2021 Natsu basho results - Makuuchi Division,W
7,8,DAIAMAMI,M13,2021 Natsu basho results - Makuuchi Division,W
10,5,CHIYOTAIRYU,M14,2021 Natsu basho results - Makuuchi Division,W
0,0,MIDORIFUJI,M15,2021 Natsu basho results - Makuuchi Division,W
8,7,CHIYOMARU,M16,2021 Natsu basho results - Makuuchi Division,W
1,2,TAKAKEISHO,O,2021 Nagoya basho results - Makuuchi Division,W
0,0,ASANOYAMA,O,2021 Nagoya basho results - Makuuchi Division,W
8,7,MITAKEUMI,S,2021 Nagoya basho results - Makuuchi Division,W
8,7,MEISEI,K,2021 Nagoya basho results - Makuuchi Division,W
5,10,DAIEISHO,M1,2021 Nagoya basho results - Makuuchi Division,W
10,5,ICHINOJO,M2,2021 Nagoya basho results - Makuuchi Division,W
4,11,TOBIZARU,M3,2021 Nagoya basho results - Makuuchi Division,W
4,11,CHIYOTAIRYU,M4,2021 Nagoya basho results - Makuuchi Division,W
10,5,HOSHORYU,M5,2021 Nagoya basho results - Makuuchi Division,W
9,6,KIRIBAYAMA,M6,2021 Nagoya basho results - Makuuchi Division,W
8,7,CHIYOSHOMA,M7,2021 Nagoya basho results - Makuuchi Division,W
7,8,AOIYAMA,M8,2021 Nagoya basho results - Makuuchi Division,W
8,7,SHIMANOUMI,M9,2021 Nagoya basho results - Makuuchi Division,W
8,7,TERUTSUYOSHI,M10,2021 Nagoya basho results - Makuuchi Division,W
12,3,KOTONOWAKA,M11,2021 Nagoya basho results - Makuuchi Division,W
7,8,KAGAYAKI,M12,2021 Nagoya basho results - Makuuchi Division,W
10,5,URA,M13,2021 Nagoya basho results - Makuuchi Division,W
7,8,CHIYONO-O [JA],M14,2021 Nagoya basho results - Makuuchi Division,W
7,8,TOKUSHORYU,M15,2021 Nagoya basho results - Makuuchi Division,W
9,6,ISHIURA,M16,2021 Nagoya basho results - Makuuchi Division,W
13,2,TERUNOFUJI,Y,2021 Aki basho results - Makuuchi Division,W
8,7,TAKAKEISHO,O,2021 Aki basho results - Makuuchi Division,W
8,7,MEISEI,S,2021 Aki basho results - Makuuchi Division,W
0,0,,S,2021 Aki basho results - Makuuchi Division,W
8,7,ICHINOJO,K,2021 Aki basho results - Makuuchi Division,W
7,8,TAKANOSHO,M1,2021 Aki basho results - Makuuchi Division,W
9,6,KIRIBAYAMA,M2,2021 Aki basho results - Makuuchi Division,W
3,7,KOTONOWAKA,M3,2021 Aki basho results - Makuuchi Division,W
10,5,DAIEISHO,M4,2021 Aki basho results - Makuuchi Division,W
8,7,TAKARAFUJI,M5,2021 Aki basho results - Makuuchi Division,W
10,5,ŌNOSHO,M6,2021 Aki basho results - Makuuchi Division,W
5,10,TERUTSUYOSHI,M7,2021 Aki basho results - Makuuchi Division,W
7,8,TOBIZARU,M8,2021 Aki basho results - Makuuchi Division,W
7,8,HIDENOUMI,M9,2021 Aki basho results - Makuuchi Division,W
11,4,MYOGIRYU,M10,2021 Aki basho results - Makuuchi Division,W
8,7,KOTOEKO,M11,2021 Aki basho results - Makuuchi Division,W
7,8,TOCHINOSHIN,M12,2021 Aki basho results - Makuuchi Division,W
5,10,TSURUGISHO,M13,2021 Aki basho results - Makuuchi Division,W
8,7,YUTAKAYAMA,M14,2021 Aki basho results - Makuuchi Division,W
4,11,CHIYONOO [JA],M15,2021 Aki basho results - Makuuchi Division,W
4,11,TOKUSHORYU,M16,2021 Aki basho results - Makuuchi Division,W
12,3,TAKAKEISHO,O,2021 Kyushu basho results - Makuuchi Division,W
7,8,MEISEI,S,2021 Kyushu basho results - Makuuchi Division,W
6,9,KIRIBAYAMA,K,2021 Kyushu basho results - Makuuchi Division,W
8,7,WAKATAKAKAGE,M1,2021 Kyushu basho results - Makuuchi Division,W
11,4,TAKANOSHO,M2,2021 Kyushu basho results - Makuuchi Division,W
2,13,MYOGIRYU,M3,2021 Kyushu basho results - Makuuchi Division,W
8,7,ENDO,M4,2021 Kyushu basho results - Makuuchi Division,W
7,8,HOSHORYU,M5,2021 Kyushu basho results - Makuuchi Division,W
9,6,TAMAWASHI,M6,2021 Kyushu basho results - Makuuchi Division,W
8,7,CHIYOSHOMA,M7,2021 Kyushu basho results - Makuuchi Division,W
7,8,TOBIZARU,M8,2021 Kyushu basho results - Makuuchi Division,W
8,7,HIDENOUMI,M9,2021 Kyushu basho results - Makuuchi Division,W
0,0,ASANOYAMA,M10,2021 Kyushu basho results - Makuuchi Division,W
7,8,TERUTSUYOSHI,M11,2021 Kyushu basho results - Makuuchi Division,W
11,4,HOKUTOFUJI,M12,2021 Kyushu basho results - Makuuchi Division,W
6,6,TOCHINOSHIN,M13,2021 Kyushu basho results - Makuuchi Division,W
9,6,CHIYONOKUNI,M14,2021 Kyushu basho results - Makuuchi Division,W
12,3,ABI,M15,2021 Kyushu basho results - Makuuchi Division,W
9,6,SADANOUMI,M16,2021 Kyushu basho results - Makuuchi Division,W
4,11,SHOHOZAN,M17,2021 Kyushu basho results - Makuuchi Division,W
