Win,Lose,Name,Rank,Tournament,Division
7,8,TAKANOSHO,S,2022 Hatsu basho results - Makuuchi Division,W
7,8,DAIEISHO,K,2022 Hatsu basho results - Makuuchi Division,W
6,9,KIRIBAYAMA,M1,2022 Hatsu basho results - Makuuchi Division,W
8,7,ICHINOJO,M2,2022 Hatsu basho results - Makuuchi Division,W
7,8,ENDO,M3,2022 Hatsu basho results - Makuuchi Division,W
6,9,HOKUTOFUJI,M4,2022 Hatsu basho results - Makuuchi Division,W
4,11,CHIYOSHOMA,M5,2022 Hatsu basho results - Makuuchi Division,W
12,3,ABI,M6,2022 Hatsu basho results - Makuuchi Division,W
9,6,TAKARAFUJI,M7,2022 Hatsu basho results - Makuuchi Division,W
6,9,TOBIZARU,M8,2022 Hatsu basho results - Makuuchi Division,W
5,6,SHIMANOUMI,M9,2022 Hatsu basho results - Makuuchi Division,W
4,11,AKUA,M10,2022 Hatsu basho results - Makuuchi Division,W
7,8,TERUTSUYOSHI,M11,2022 Hatsu basho results - Makuuchi Division,W
7,8,CHIYOTAIRYŪ,M12,2022 Hatsu basho results - Makuuchi Division,W
6,9,YUTAKAYAMA,M13,2022 Hatsu basho results - Makuuchi Division,W
5,10,ICHIYAMAMOTO,M14,2022 Hatsu basho results - Makuuchi Division,W
7,8,TOCHINOSHIN,M15,2022 Hatsu basho results - Makuuchi Division,W
6,9,TSURUGISHO,M16,2022 Hatsu basho results - Makuuchi Division,W
5,7,KAISEI,M17,2022 Hatsu basho results - Makuuchi Division,W
8,7,TAKAKEISHO,O,2022 Haru basho results - Makuuchi Division,W
11,4,MITAKEUMI,O,2022 Haru basho results - Makuuchi Division,W
8,7,ABI,S,2022 Haru basho results - Makuuchi Division,W
8,7,HOSHORYŪ,K,2022 Haru basho results - Makuuchi Division,W
4,11,URA,M1,2022 Haru basho results - Makuuchi Division,W
7,8,TAMAWASHI,M2,2022 Haru basho results - Makuuchi Division,W
1,14,MEISEI,M3,2022 Haru basho results - Makuuchi Division,W
8,7,ENDO,M4,2022 Haru basho results - Makuuchi Division,W
2,7,ISHIURA,M5,2022 Haru basho results - Makuuchi Division,W
11,4,KOTONOWAKA,M6,2022 Haru basho results - Makuuchi Division,W
5,10,OKINOUMI,M7,2022 Haru basho results - Makuuchi Division,W
5,10,SADANOUMI,M8,2022 Haru basho results - Makuuchi Division,W
9,6,WAKAMOTOHARU,M9,2022 Haru basho results - Makuuchi Division,W
7,8,AOIYAMA,M10,2022 Haru basho results - Makuuchi Division,W
8,7,TERUTSUYOSHI,M11,2022 Haru basho results - Makuuchi Division,W
7,8,CHIYOTAIRYŪ,M12,2022 Haru basho results - Makuuchi Division,W
5,6,CHIYONOKUNI,M13,2022 Haru basho results - Makuuchi Division,W
7,8,YUTAKAYAMA,M14,2022 Haru basho results - Makuuchi Division,W
9,6,TOCHINOSHIN,M15,2022 Haru basho results - Makuuchi Division,W
7,8,KOTOKUZAN,M16,2022 Haru basho results - Makuuchi Division,W
8,7,ICHIYAMAMOTO,M17,2022 Haru basho results - Makuuchi Division,W
5,10,SHODAI,O,2022 Natsu basho results - Makuuchi Division,W
8,7,TAKAKEISHO,O,2022 Natsu basho results - Makuuchi Division,W
7,8,ABI,S,2022 Natsu basho results - Makuuchi Division,W
11,4,DAIEISHO,K,2022 Natsu basho results - Makuuchi Division,W
0,0,ICHINOJO,M1,2022 Natsu basho results - Makuuchi Division,W
9,6,KOTONOWAKA,M2,2022 Natsu basho results - Makuuchi Division,W
9,6,TAMAWASHI,M3,2022 Natsu basho results - Makuuchi Division,W
11,4,TAKANOSHO,M4,2022 Natsu basho results - Makuuchi Division,W
7,8,TOBIZARU,M5,2022 Natsu basho results - Makuuchi Division,W
9,6,WAKAMOTOHARU,M6,2022 Natsu basho results - Makuuchi Division,W
6,9,KOTOEKO,M7,2022 Natsu basho results - Makuuchi Division,W
5,10,TERUTSUYOSHI,M8,2022 Natsu basho results - Makuuchi Division,W
8,7,TOCHINOSHIN,M9,2022 Natsu basho results - Makuuchi Division,W
8,7,NISHIKIGI,M10,2022 Natsu basho results - Makuuchi Division,W
6,9,CHIYOSHOMA,M11,2022 Natsu basho results - Makuuchi Division,W
11,4,SADANOUMI,M12,2022 Natsu basho results - Makuuchi Division,W
8,7,MEISEI,M13,2022 Natsu basho results - Makuuchi Division,W
6,9,YUTAKAYAMA,M14,2022 Natsu basho results - Makuuchi Division,W
8,7,ICHIYAMAMOTO,M15,2022 Natsu basho results - Makuuchi Division,W
9,6,MIDORIFUJI,M16,2022 Natsu basho results - Makuuchi Division,W
6,9,KAGAYAKI,M17,2022 Natsu basho results - Makuuchi Division,W
2,5,MITAKEUMI,O,2022 Nagoya basho results - Makuuchi Division,W
10,5,SHODAI,O,2022 Nagoya basho results - Makuuchi Division,W
6,7,DAIEISHO,S,2022 Nagoya basho results - Makuuchi Division,W
8,7,ABI,K,2022 Nagoya basho results - Makuuchi Division,W
1,6,TAKANOSHO,M1,2022 Nagoya basho results - Makuuchi Division,W
12,3,ICHINOJO,M2,2022 Nagoya basho results - Makuuchi Division,W
7,8,URA,M3,2022 Nagoya basho results - Makuuchi Division,W
0,0,TAKAYASU,M4,2022 Nagoya basho results - Makuuchi Division,W
7,8,SADANOUMI,M5,2022 Nagoya basho results - Makuuchi Division,W
8,5,TOBIZARU,M6,2022 Nagoya basho results - Makuuchi Division,W
6,9,HOKUTOFUJI,M7,2022 Nagoya basho results - Makuuchi Division,W
8,5,NISHIKIGI,M8,2022 Nagoya basho results - Makuuchi Division,W
5,6,KOTOEKO,M9,2022 Nagoya basho results - Makuuchi Division,W
9,6,MEISEI,M10,2022 Nagoya basho results - Makuuchi Division,W
10,5,MIDORIFUJI,M11,2022 Nagoya basho results - Makuuchi Division,W
9,6,TAKARAFUJI,M12,2022 Nagoya basho results - Makuuchi Division,W
7,8,CHIYOSHOMA,M13,2022 Nagoya basho results - Makuuchi Division,W
5,8,TSURUGISHO,M14,2022 Nagoya basho results - Makuuchi Division,W
8,7,OHO,M15,2022 Nagoya basho results - Makuuchi Division,W
2,9,DAIAMAMI,M16,2022 Nagoya basho results - Makuuchi Division,W
6,9,CHIYOMARU,M17,2022 Nagoya basho results - Makuuchi Division,W
4,11,SHODAI,O,2022 Aki basho results - Makuuchi Division,W
4,11,MITAKEUMI,O,2022 Aki basho results - Makuuchi Division,W
8,7,HOSHORYŪ,S,2022 Aki basho results - Makuuchi Division,W
6,9,ICHINOJO,K,2022 Aki basho results - Makuuchi Division,W
9,6,KIRIBAYAMA,K,2022 Aki basho results - Makuuchi Division,W
7,8,MIDORIFUJI,M1,2022 Aki basho results - Makuuchi Division,W
8,7,MEISEI,M2,2022 Aki basho results - Makuuchi Division,W
8,7,URA,M3,2022 Aki basho results - Makuuchi Division,W
11,4,TAKAYASU,M4,2022 Aki basho results - Makuuchi Division,W
9,6,SADANOUMI,M5,2022 Aki basho results - Makuuchi Division,W
7,8,ENDO,M6,2022 Aki basho results - Makuuchi Division,W
5,10,ONOSHO,M7,2022 Aki basho results - Makuuchi Division,W
10,5,HOKUTOFUJI,M8,2022 Aki basho results - Makuuchi Division,W
6,9,KOTOEKO,M9,2022 Aki basho results - Makuuchi Division,W
8,7,TAKANOSHO,M10,2022 Aki basho results - Makuuchi Division,W
6,9,CHIYOTAIRYŪ,M11,2022 Aki basho results - Makuuchi Division,W
11,4,RYŪDEN,M12,2022 Aki basho results - Makuuchi Division,W
7,8,OHO,M13,2022 Aki basho results - Makuuchi Division,W
4,11,YUTAKAYAMA,M14,2022 Aki basho results - Makuuchi Division,W
5,10,TSURUGISHO,M15,2022 Aki basho results - Makuuchi Division,W
7,8,HIRADOUMI,M16,2022 Aki basho results - Makuuchi Division,W
6,9,SHODAI,O,2022 Kyushu basho results - Makuuchi Division,W
11,4,HOSHORYŪ,S,2022 Kyushu basho results - Makuuchi Division,W
6,9,MITAKEUMI,S,2022 Kyushu basho results - Makuuchi Division,W
8,7,KIRIBAYAMA,K,2022 Kyushu basho results - Makuuchi Division,W
7,8,DAIEISHO,K,2022 Kyushu basho results - Makuuchi Division,W
9,6,KOTONOWAKA,M1,2022 Kyushu basho results - Makuuchi Division,W
4,11,ICHINOJO,M2,2022 Kyushu basho results - Makuuchi Division,W
8,7,MIDORIFUJI,M3,2022 Kyushu basho results - Makuuchi Division,W
8,7,SADANOUMI,M4,2022 Kyushu basho results - Makuuchi Division,W
9,6,NISHIKIFUJI,M5,2022 Kyushu basho results - Makuuchi Division,W
9,6,RYŪDEN,M6,2022 Kyushu basho results - Makuuchi Division,W
8,7,MYOGIRYŪ,M7,2022 Kyushu basho results - Makuuchi Division,W
6,9,TOCHINOSHIN,M8,2022 Kyushu basho results - Makuuchi Division,W
12,3,ABI,M9,2022 Kyushu basho results - Makuuchi Division,W
7,8,CHIYOSHOMA,M10,2022 Kyushu basho results - Makuuchi Division,W
7,8,KOTOSHOHO,M11,2022 Kyushu basho results - Makuuchi Division,W
2,6,CHIYOTAIRYŪ,M12,2022 Kyushu basho results - Makuuchi Division,W
10,5,OHO,M13,2022 Kyushu basho results - Makuuchi Division,W
7,8,AZUMARYŪ,M14,2022 Kyushu basho results - Makuuchi Division,W
4,11,ATAMIFUJI,M15,2022 Kyushu basho results - Makuuchi Division,W
10,5,HIRADOUMI,M16,2022 Kyushu basho results - Makuuchi Division,W
