Name W,Result W,Technique,Name L,Result L
NISHIKIFUJI,win,yorikiri,TOCHINOSHIN,lost
HOKUTOFUJI,win,yorikiri,RYUDEN,lost
ENDO,win,shitatenage,SADANOUMI,lost
MEISEI,win,oshidashi,ICHINOJO,lost
KOTONOWAKA,win,oshidashi,TAMAWASHI,lost
TAKAYASU,win,tsukiotoshi,DAIEISHO,lost
KIRIBAYAMA,win,yorikiri,MITAKEUMI,lost
HOSHORYU,win,sotogake,WAKAMOTOHARU,lost
TOBIZARU,win,oshidashi,WAKATAKAKAGE,lost
SHODAI,win,hatakikomi,URA,lost
TAKAKEISHO,win,oshidashi,MIDORIFUJI,lost
KAGAYAKI,win,tsukidashi,HIRADOUMI,lost
MITORYU,win,kotenage,ICHIYAMAMOTO,lost
OKINOUMI,win,sukuinage,AZUMARYU,lost
OHO,win,kotenage,TERUTSUYOSHI,lost
CHIYOTAIRYU,win,hatakikomi,ATAMIFUJI,lost
KOTOEKO,win,yorikiri,AOIYAMA,lost
TAKANOSHO,win,oshidashi,CHIYOSHOMA,lost
ABI,win,hatakikomi,KOTOSHOHO,lost
TOCHINOSHIN,win,hatakikomi,ONOSHO,lost
NISHIKIGI,win,oshidashi,TAKARAFUJI,lost
HOKUTOFUJI,win,oshidashi,ENDO,lost
MYOGIRYU,win,yoritaoshi,NISHIKIFUJI,lost
RYUDEN,win,shitatedashinage,SADANOUMI,lost
WAKAMOTOHARU,win,hatakikomi,MEISEI,lost
KOTONOWAKA,win,kotenage,TOBIZARU,lost
KIRIBAYAMA,win,tsukidashi,TAMAWASHI,lost
HOSHORYU,win,tottari,DAIEISHO,lost
WAKATAKAKAGE,win,shitatenage,ICHINOJO,lost
TAKAYASU,win,yorikiri,MITAKEUMI,lost
TAKAKEISHO,win,oshidashi,URA,lost
SHODAI,win,oshitaoshi,MIDORIFUJI,lost
ATAMIFUJI,win,hatakikomi,KAGAYAKI,lost
TSURUGISHO,win,yorikiri,AZUMARYU,lost
ICHIYAMAMOTO,win,hatakikomi,HIRADOUMI,lost
OKINOUMI,win,kainahineri,TERUTSUYOSHI,lost
OHO,win,tsukiotoshi,KOTOEKO,lost
ONOSHO,win,oshidashi,CHIYOTAIRYU,lost
AOIYAMA,win,hatakikomi,KOTOSHOHO,lost
ABI,win,hatakikomi,TAKANOSHO,lost
CHIYOSHOMA,win,okuridashi,TOCHINOSHIN,lost
MYOGIRYU,win,okuridashi,ENDO,lost
RYUDEN,win,okuridashi,TAKARAFUJI,lost
NISHIKIFUJI,win,hatakikomi,HOKUTOFUJI,lost
SADANOUMI,win,oshidashi,NISHIKIGI,lost
KOTONOWAKA,win,oshitaoshi,WAKAMOTOHARU,lost
DAIEISHO,win,hatakikomi,KIRIBAYAMA,lost
TAKAYASU,win,yorikiri,TAMAWASHI,lost
WAKATAKAKAGE,win,oshidashi,URA,lost
MITAKEUMI,win,tsukiotoshi,TOBIZARU,lost
HOSHORYU,win,kawazugake,MIDORIFUJI,lost
MEISEI,win,yorikiri,SHODAI,lost
TAKAKEISHO,win,oshidashi,ICHINOJO,lost
BUSHOZAN,win,okuridashi,KAGAYAKI,lost
AZUMARYU,win,shitatedashinage,HIRADOUMI,lost
ATAMIFUJI,win,kimedashi,OKINOUMI,lost
KOTOEKO,win,tsukiotoshi,TERUTSUYOSHI,lost
ICHIYAMAMOTO,win,hatakikomi,CHIYOTAIRYU,lost
OHO,win,hatakikomi,KOTOSHOHO,lost
CHIYOSHOMA,win,yorikiri,AOIYAMA,lost
ONOSHO,win,oshitaoshi,ABI,lost
TOCHINOSHIN,win,hatakikomi,TAKARAFUJI,lost
MYOGIRYU,win,oshidashi,TAKANOSHO,lost
NISHIKIGI,win,yorikiri,RYUDEN,lost
NISHIKIFUJI,win,tsukidashi,ENDO,lost
WAKAMOTOHARU,win,yorikiri,SADANOUMI,lost
MIDORIFUJI,win,tsukiotoshi,HOKUTOFUJI,lost
KIRIBAYAMA,win,uwatehineri,TOBIZARU,lost
TAMAWASHI,win,oshidashi,DAIEISHO,lost
MITAKEUMI,win,oshidashi,URA,lost
TAKAYASU,win,hatakikomi,HOSHORYU,lost
KOTONOWAKA,win,kainahineri,WAKATAKAKAGE,lost
MEISEI,win,yorikiri,TAKAKEISHO,lost
ICHINOJO,win,yorikiri,SHODAI,lost
HIRADOUMI,win,yoritaoshi,TERUTSUYOSHI,lost
ATAMIFUJI,win,oshidashi,CHURANOUMI,lost
AZUMARYU,win,tsukiotoshi,ICHIYAMAMOTO,lost
OHO,win,oshidashi,KAGAYAKI,lost
OKINOUMI,win,hatakikomi,CHIYOTAIRYU,lost
KOTOEKO,win,yorikiri,ONOSHO,lost
KOTOSHOHO,win,kotenage,CHIYOSHOMA,lost
AOIYAMA,win,oshidashi,TAKANOSHO,lost
ABI,win,hikiotoshi,TOCHINOSHIN,lost
ENDO,win,okuridashi,TAKARAFUJI,lost
RYUDEN,win,yorikiri,MYOGIRYU,lost
HOKUTOFUJI,win,yoritaoshi,NISHIKIGI,lost
SADANOUMI,win,hikiotoshi,NISHIKIFUJI,lost
WAKAMOTOHARU,win,oshidashi,URA,lost
